asset_type,category,file_name,description,commons_url,license_note,source,local_path,downloaded,compliance_status
image,Fractals & Self-Similar Patterns,Menger-Schwamm.png,"Rendered image of a Menger sponge, the 3D analogue of the Cantor set / Sierpinski carpet, showing its cavity-within-cavity structure.",https://commons.wikimedia.org/wiki/File:Menger-Schwamm.png,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/Menger-Schwamm.png,yes,Not Reviewed
image,Fractals & Self-Similar Patterns,CGA Partial Mandelbrot Set.png,"Retro low-color-palette (CGA-style) rendering of part of the Mandelbrot set, useful for a vintage-computing aesthetic.",https://commons.wikimedia.org/wiki/File:CGA_Partial_Mandelbrot_Set.png,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractals & Self-Similar Patterns/CGA Partial Mandelbrot Set.png,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,Pythagoras zerlegung brautstuhl bhaskara inkscape.svg,"Vector 'dissection proof' diagram of the Pythagorean theorem in the Bhaskara/'bride's chair' style, showing squares rearranged on a right triangle.",https://commons.wikimedia.org/wiki/File:Pythagoras_zerlegung_brautstuhl_bhaskara_inkscape.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/Pythagoras zerlegung brautstuhl bhaskara inkscape.svg,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,Pythagorean.svg,Minimalist vector diagram proving the Pythagorean theorem by rearrangement of the component triangles.,https://commons.wikimedia.org/wiki/File:Pythagorean.svg,"CC BY-SA / GFDL (dual-licensed, verify on file page)",Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/Pythagorean.svg,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,A visual proof of the Pythagorean theorem.png,"Clean visual (non-algebraic) proof of the Pythagorean theorem using area rearrangement, easy for a general audience to follow.",https://commons.wikimedia.org/wiki/File:A_visual_proof_of_the_Pythagorean_theorem.png,CC BY-SA 4.0,Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/A visual proof of the Pythagorean theorem.png,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,Byrne 1847 Pythagoras Querformat.jpg,"A colored geometric proof plate from Oliver Byrne's 1847 edition of Euclid's Elements, famous for its bold primary-color diagrams instead of algebraic labels. Landscape orientation.",https://commons.wikimedia.org/wiki/File:Byrne_1847_Pythagoras_Querformat.jpg,"Public Domain (published 1847, well past copyright term)",Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/Byrne 1847 Pythagoras Querformat.jpg,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,Byrne 1847 Satz des Pythagoras Hochformat.jpg,Portrait-orientation version of the same 1847 Byrne Euclid color proof plate for the Pythagorean theorem.,https://commons.wikimedia.org/wiki/File:Byrne_1847_Satz_des_Pythagoras_Hochformat.jpg,"Public Domain (published 1847, well past copyright term)",Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/Byrne 1847 Satz des Pythagoras Hochformat.jpg,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,8106-1ByrneTP.png,"Title-page or plate scan from Byrne's 1847 illustrated Euclid, useful as a historical/vintage design element.",https://commons.wikimedia.org/wiki/File:8106-1ByrneTP.png,"Public Domain (published 1847, well past copyright term)",Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/8106-1ByrneTP.png,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,Brides Chair 01.png,"Diagram of the classic 'bride's chair' figure used in Euclid's own proof of the Pythagorean theorem (Elements, Book I, Proposition 47).",https://commons.wikimedia.org/wiki/File:Brides_Chair_01.png,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/Brides Chair 01.png,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,Pappus area theorem.svg,"Vector diagram of Pappus's area theorem, a generalization of the Pythagorean theorem to arbitrary triangles and parallelograms.",https://commons.wikimedia.org/wiki/File:Pappus_area_theorem.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/Pappus area theorem.svg,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,Pythagoras construction.svg,Vector construction diagram showing a classical straightedge-and-compass approach to the Pythagorean relationship.,https://commons.wikimedia.org/wiki/File:Pythagoras_construction.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/Pythagoras construction.svg,yes,Not Reviewed
image,Classical Theorems & Proof Diagrams,Torus volume using Pappus' Theorem.svg,Vector diagram applying Pappus's theorem to derive the volume of a torus (donut shape) from a rotated circle.,https://commons.wikimedia.org/wiki/File:Torus_volume_using_Pappus'_Theorem.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Classical Theorems & Proof Diagrams/Torus volume using Pappus' Theorem.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Pascal's Triangle rows 0-16.svg,Vector diagram of Pascal's triangle showing rows 0 through 16 of binomial coefficients in the classic triangular arrangement.,https://commons.wikimedia.org/wiki/File:Pascal's_Triangle_rows_0-16.svg,"CC BY-SA / GFDL (dual-licensed, verify on file page)",Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Pascal's Triangle rows 0-16.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Pascal triangle 3d animation.svg,"Animated SVG illustrating Pascal's triangle in a rotating 3D-style presentation, good for a dynamic web/social visual.",https://commons.wikimedia.org/wiki/File:Pascal_triangle_3d_animation.svg,CC BY-SA 4.0 (author offers choice of license),Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Pascal triangle 3d animation.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Golden Spiral.svg,"Large, crisp vector rendering of the golden spiral (a logarithmic spiral based on the golden ratio), a very recognizable 'math meets art' image.",https://commons.wikimedia.org/wiki/File:Golden_Spiral.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Golden Spiral.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Golden spiral in rectangles.svg,Vector diagram showing the golden spiral constructed inside a sequence of nested golden rectangles.,https://commons.wikimedia.org/wiki/File:Golden_spiral_in_rectangles.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Golden spiral in rectangles.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Golden ratio - Pentagram.svg,Vector diagram showing golden-ratio proportions embedded within a five-pointed star (pentagram).,https://commons.wikimedia.org/wiki/File:Golden_ratio_-_Pentagram.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Golden ratio - Pentagram.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Lute of Pythagoras.svg,"Vector diagram of the 'Lute of Pythagoras,' a self-similar star-polygon figure built from nested pentagrams related to the golden ratio.",https://commons.wikimedia.org/wiki/File:Lute_of_Pythagoras.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Lute of Pythagoras.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Golden triangle and Fibonacci spiral.svg,Vector diagram comparing the golden triangle construction with the related Fibonacci spiral approximation.,https://commons.wikimedia.org/wiki/File:Golden_triangle_and_Fibonacci_spiral.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Golden triangle and Fibonacci spiral.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Golden Spiral by geometric construction.svg,Step-by-step style vector diagram showing how the golden spiral is built via classical geometric construction.,https://commons.wikimedia.org/wiki/File:Golden_Spiral_by_geometric_construction.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Golden Spiral by geometric construction.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Goldene Spirale.svg,"Alternate clean vector rendering of the golden spiral, simpler styling than the large-format version above.",https://commons.wikimedia.org/wiki/File:Goldene_Spirale.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Goldene Spirale.svg,yes,Not Reviewed
image,Number Patterns (Pascal's Triangle & Golden Ratio),Golden vs Fibonacci Spiral.svg,"Side-by-side vector comparison of the true golden spiral versus the Fibonacci-sequence approximation, highlighting the subtle difference.",https://commons.wikimedia.org/wiki/File:Golden_vs_Fibonacci_Spiral.svg,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Number Patterns (Pascal's Triangle & Golden Ratio)/Golden vs Fibonacci Spiral.svg,yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",Algebraic equation notation.svg,"Labeled vector diagram breaking down the parts of an algebraic equation (terms, coefficients, variables, operators) for educational annotation.",https://commons.wikimedia.org/wiki/File:Algebraic_equation_notation.svg,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/Algebraic equation notation.svg",yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",Algebra Proof Diagram Closure.svg,Small vector diagram illustrating the closure property in algebra (an operation on a set staying within that set).,https://commons.wikimedia.org/wiki/File:Algebra_Proof_Diagram_Closure.svg,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/Algebra Proof Diagram Closure.svg",yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",Rigidity topics diagram.jpg,"Diagram mapping out topics and subfields within rigidity theory, a branch of discrete/applied mathematics, useful as a 'concept map' style visual.",https://commons.wikimedia.org/wiki/File:Rigidity_topics_diagram.jpg,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/Rigidity topics diagram.jpg",yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",S-E-I-Q-H-R Flow Diagram.png,"Flow diagram of a compartmental epidemiological model (Susceptible-Exposed-Infected-Quarantined-Hospitalized-Recovered), a real-world applied-math visual.",https://commons.wikimedia.org/wiki/File:S-E-I-Q-H-R_Flow_Diagram.png,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/S-E-I-Q-H-R Flow Diagram.png",yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",Torso domain for the forward problem of electrocardiography.png,Applied-mathematics diagram showing a modeled torso domain used in solving the 'forward problem' in electrocardiography.,https://commons.wikimedia.org/wiki/File:Torso_domain_for_the_forward_problem_of_electrocardiography.png,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/Torso domain for the forward problem of electrocardiography.png",yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",Truncated icosahedron cherry model by George W. Hart.jpg,Photograph of a hand-built truncated icosahedron model (the 'soccer-ball' polyhedron) crafted from cherry wood by mathematical sculptor George W. Hart.,https://commons.wikimedia.org/wiki/File:Truncated_icosahedron_cherry_model_by_George_W._Hart.jpg,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/Truncated icosahedron cherry model by George W. Hart.jpg",yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",Solidi geometrici.jpg,Photograph/illustration of assorted geometric solids grouped together for a general 'shapes of geometry' visual.,https://commons.wikimedia.org/wiki/File:Solidi_geometrici.jpg,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/Solidi geometrici.jpg",yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",Podobnye treugolniki proof.svg,"Vector diagram proving a theorem about similar triangles, useful for geometry-focused educational content.",https://commons.wikimedia.org/wiki/File:Podobnye_treugolniki_proof.svg,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/Podobnye treugolniki proof.svg",yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",2 conceptions of square root of 3 through tilings.svg,Vector diagram showing two different tiling-based visual proofs for the value of the square root of 3.,https://commons.wikimedia.org/wiki/File:2_conceptions_of_square_root_of_3_through_tilings.svg,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/2 conceptions of square root of 3 through tilings.svg",yes,Not Reviewed
image,"Equations, Algebra & Applied Diagrams",A tiling and a proof of the Pythagorean theorem.svg,Vector diagram showing a repeating tile pattern that doubles as a visual proof of the Pythagorean theorem.,https://commons.wikimedia.org/wiki/File:A_tiling_and_a_proof_of_the_Pythagorean_theorem.svg,CC BY-SA (verify version on file page),Wikimedia Commons,"downloads/Equations, Algebra & Applied Diagrams/A tiling and a proof of the Pythagorean theorem.svg",yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,Mandelbrot zoom.gif,"Short looping GIF zooming into a self-similar feature of the Mandelbrot set, panning to reveal repeating structure.",https://commons.wikimedia.org/wiki/File:Mandelbrot_zoom.gif,Public Domain (tagged PD-user on file page),Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/Mandelbrot zoom.gif,yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,Kochsim.gif,"Compact looping GIF simulating an endless zoom/pan into a Koch snowflake curve, illustrating fractal self-similarity.",https://commons.wikimedia.org/wiki/File:Kochsim.gif,Public Domain (tagged PD-self by author),Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/Kochsim.gif,yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,Animated fractal mountain.gif,"Short monochrome GIF of a procedurally generated fractal 'mountain' landscape, a classic demo of fractal terrain generation.",https://commons.wikimedia.org/wiki/File:Animated_fractal_mountain.gif,Public Domain (tagged PD-self by author),Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/Animated fractal mountain.gif,yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,Fractal.gif,"Looping animated GIF (104 frames) cycling through a 3D fractal render, useful as ambient background motion.",https://commons.wikimedia.org/wiki/File:Fractal.gif,CC BY-SA 4.0,Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/Fractal.gif,yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,Cantor Zoom.gif,"Wide-format GIF visualizing the Cantor set construction as an endless zoom, showing the 'removing the middle third' process repeating.",https://commons.wikimedia.org/wiki/File:Cantor_Zoom.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/Cantor Zoom.gif,yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,Feigenbaumzoom.gif,"GIF zooming into the Feigenbaum point of a bifurcation diagram, illustrating period-doubling and chaos theory visually.",https://commons.wikimedia.org/wiki/File:Feigenbaumzoom.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/Feigenbaumzoom.gif,yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,GoldenSpiralLogarithmic in.gif,"GIF animating an inward zoom along a logarithmic (golden) spiral, tying the golden ratio to a smooth zoom effect.",https://commons.wikimedia.org/wiki/File:GoldenSpiralLogarithmic_in.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/GoldenSpiralLogarithmic in.gif,yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,Mandelbrot set iteration.gif,"GIF illustrating how the Mandelbrot set is built up iteration by iteration, useful for explaining the underlying algorithm.",https://commons.wikimedia.org/wiki/File:Mandelbrot_set_iteration.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/Mandelbrot set iteration.gif,yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,Animation of the growth of the Mandelbrot set as you iterate towards infinity.gif,GIF showing the Mandelbrot set's boundary becoming more detailed as the iteration count increases toward infinity.,https://commons.wikimedia.org/wiki/File:Animation_of_the_growth_of_the_Mandelbrot_set_as_you_iterate_towards_infinity.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/Animation of the growth of the Mandelbrot set as you iterate towards infinity.gif,yes,Not Reviewed
animation/video,Fractal Zoom & Growth Animations,Infinite Binary Tree.gif,"GIF animating the recursive branching of an infinite binary tree, a foundational visual for recursion and combinatorics.",https://commons.wikimedia.org/wiki/File:Infinite_Binary_Tree.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Fractal Zoom & Growth Animations/Infinite Binary Tree.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,Pythagorean theorem - Ani.gif,Animated GIF that visually demonstrates the Pythagorean theorem through a moving rearrangement of squares and triangles.,https://commons.wikimedia.org/wiki/File:Pythagorean_theorem_-_Ani.gif,CC BY-SA 3.0,Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/Pythagorean theorem - Ani.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,01-Satz des Pythagoras-W.gif,"Animated proof of the Pythagorean theorem (German-labeled), showing shapes shifting to demonstrate the area relationship.",https://commons.wikimedia.org/wiki/File:01-Satz_des_Pythagoras-W.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/01-Satz des Pythagoras-W.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,Animated gif version of SVG of rearrangement proof of Pythagorean theorem.gif,"GIF version of a rearrangement-style proof of the Pythagorean theorem, converted from a static SVG diagram into motion.",https://commons.wikimedia.org/wiki/File:Animated_gif_version_of_SVG_of_rearrangement_proof_of_Pythagorean_theorem.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/Animated gif version of SVG of rearrangement proof of Pythagorean theorem.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,Conant-Beyer Generalization of the Pythagorean Theorem for a 2-D object.gif,Animation illustrating the Conant-Beyer generalization of the Pythagorean theorem applied to a 2-dimensional object.,https://commons.wikimedia.org/wiki/File:Conant-Beyer_Generalization_of_the_Pythagorean_Theorem_for_a_2-D_object.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/Conant-Beyer Generalization of the Pythagorean Theorem for a 2-D object.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,Conant-Beyer Generalization of the Pythagorean Theorem for a set of 1-D objects.gif,Animation illustrating the same generalized theorem applied to a set of 1-dimensional objects.,https://commons.wikimedia.org/wiki/File:Conant-Beyer_Generalization_of_the_Pythagorean_Theorem_for_a_set_of_1-D_objects.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/Conant-Beyer Generalization of the Pythagorean Theorem for a set of 1-D objects.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,GouguAnim.gif,"Animated diagram related to the Gougu theorem (the Chinese formulation of the Pythagorean relationship), showing a moving geometric proof.",https://commons.wikimedia.org/wiki/File:GouguAnim.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/GouguAnim.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,Khosrotash2.gif,Animated geometric proof diagram (one of a series by the same illustrator) showing shapes transforming to prove an area relationship.,https://commons.wikimedia.org/wiki/File:Khosrotash2.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/Khosrotash2.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,Khosrotashph.gif,"Animated geometric proof diagram from the same series, demonstrating another visual proof via moving shapes.",https://commons.wikimedia.org/wiki/File:Khosrotashph.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/Khosrotashph.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,Golden Ratio. Variation Animation.gif,Tall-format GIF animating how proportions shift as a rectangle's ratio approaches and passes through the golden ratio.,https://commons.wikimedia.org/wiki/File:Golden_Ratio._Variation_Animation.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/Golden Ratio. Variation Animation.gif,yes,Not Reviewed
animation/video,Theorem & Geometric Proof Animations,Working path segment protection.gif,Short animated combinatorics diagram illustrating a path-protection concept via a simple looping diagram.,https://commons.wikimedia.org/wiki/File:Working_path_segment_protection.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Theorem & Geometric Proof Animations/Working path segment protection.gif,yes,Not Reviewed
animation/video,Calculus & Function Animations,Derivative GIF.gif,"Animated GIF showing a tangent line sliding along a curve, illustrating the concept of a derivative as instantaneous slope.",https://commons.wikimedia.org/wiki/File:Derivative_GIF.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Calculus & Function Animations/Derivative GIF.gif,yes,Not Reviewed
animation/video,Calculus & Function Animations,Derivada.gif,Animated diagram (Spanish-labeled) visualizing how a secant line approaches a tangent line as the derivative definition is applied.,https://commons.wikimedia.org/wiki/File:Derivada.gif,CC BY-SA (verify version on file page),Wikimedia Commons,downloads/Calculus & Function Animations/Derivada.gif,yes,Not Reviewed
